"word","count","leftover_prob","estimate"
"the",4856,0.370613673805601,0.04778775
"to",2827,0.24464096215069,0.02782042
"and",2430,0.400699588477366,0.02391356
"a",2406,0.399750623441397,0.02367737
"of",1984,0.321774193548387,0.01952448
"in",1587,0.261562696912413,0.01561762
"i",1571,0.151050286441757,0.01546016
"is",1138,0.282337434094903,0.01119902
"that",1112,0.327338129496403,0.01094316
"for",1092,0.285897435897436,0.01074634
"you",1035,0.253623188405797,0.0101854
"it",936,0.246047008547009,0.00921115
"on",869,0.288377445339471,0.0085518
"with",735,0.326666666666667,0.00723311
"was",638,0.38730407523511,0.00627854
"at",601,0.313311148086522,0.00591442
"this",563,0.37797513321492,0.00554047
"are",531,0.377024482109228,0.00522556
"be",527,0.410436432637571,0.00518619
"have",518,0.272972972972973,0.00509762
"he",503,0.30337972166998,0.00495001
"but",498,0.285341365461847,0.0049008
"my",497,0.492957746478873,0.00489096
"as",492,0.278861788617886,0.00484176
"not",455,0.370769230769231,0.00447764
"we",453,0.276600441501104,0.00445796
"from",394,0.397969543147208,0.00387734
"so",387,0.336434108527132,0.00380846
"about",351,0.339031339031339,0.00345418
"your",346,0.517919075144509,0.00340498
"they",340,0.298529411764706,0.00334593
"all",340,0.329411764705882,0.00334593
"me",337,0.367655786350148,0.00331641
"said",328,0.347865853658537,0.00322784
"his",323,0.535294117647059,0.00317863
"will",318,0.319182389937107,0.00312943
"what",304,0.2625,0.00299165
"up",301,0.288372093023256,0.00296213
"or",294,0.538095238095238,0.00289325
"just",290,0.446551724137931,0.00285388
"by",290,0.446551724137931,0.00285388
"an",289,0.554671280276817,0.00284404
"out",282,0.228368794326241,0.00277515
"if",280,0.18,0.00275547
"when",271,0.250553505535055,0.0026669
"one",270,0.365555555555556,0.00265706
"who",258,0.412403100775194,0.00253897
"more",251,0.457370517928287,0.00247008
"like",245,0.322857142857143,0.00241104
"has",245,0.351428571428571,0.00241104
"do",243,0.279423868312757,0.00239136
"she",229,0.348471615720524,0.00225358
"there",227,0.277533039647577,0.0022339
"had",226,0.38716814159292,0.00222406
"can",225,0.401333333333333,0.00221422
"her",216,0.573611111111111,0.00212565
"time",212,0.359905660377358,0.00208629
"some",212,0.498584905660377,0.00208629
"their",204,0.590196078431372,0.00200756
"get",202,0.35,0.00198788
"no",201,0.477114427860696,0.00197803
"were",198,0.51969696969697,0.00194851
"its",198,0.51969696969697,0.00194851
"good",194,0.422164948453608,0.00190915
"day",192,0.4484375,0.00188947
"it's",185,0.329189189189189,0.00182058
"new",184,0.521195652173913,0.00181074
"them",182,0.361538461538461,0.00179106
"our",182,0.6,0.00179106
"would",178,0.318539325842697,0.00175169
"people",175,0.444,0.00172217
"i'm",165,0.394545454545455,0.00162376
"how",161,0.3,0.0015844
"now",161,0.478260869565217,0.0015844
"been",161,0.513043478260869,0.0015844
"only",151,0.491390728476821,0.00148599
"into",151,0.366225165562914,0.00148599
"which",149,0.441610738255033,0.0014663
"than",148,0.439864864864865,0.00145646
"love",146,0.373972602739726,0.00143678
"last",145,0.275172413793103,0.00142694
"also",145,0.531034482758621,0.00142694
"know",143,0.303496503496503,0.00140726
"think",140,0.275,0.00137774
"then",137,0.475182481751825,0.00134821
"other",136,0.617647058823529,0.00133837
"back",135,0.357777777777778,0.00132853
"way",134,0.355223880597015,0.00131869
"really",129,0.52093023255814,0.00126949
"see",129,0.341860465116279,0.00126949
"go",127,0.396850393700787,0.0012498
"make",127,0.308661417322835,0.0012498
"over",127,0.358267716535433,0.0012498
"because",127,0.253543307086614,0.0012498
"going",127,0.176377952755906,0.0012498
"too",126,0.516666666666667,0.00123996
"well",125,0.4592,0.00123012
"year",125,0.4032,0.00123012
"two",120,0.5775,0.00118092
"don't",119,0.352941176470588,0.00117108
"first",117,0.532478632478632,0.00115139
"him",116,0.398275862068965,0.00114155
"want",115,0.225217391304348,0.00113171
"much",115,0.407826086956522,0.00113171
"right",113,0.408849557522124,0.00111203
"us",112,0.49375,0.00110219
"could",111,0.416216216216216,0.00109235
"need",111,0.220720720720721,0.00109235
"did",110,0.330909090909091,0.00108251
"off",109,0.385321100917431,0.00107267
"say",109,0.443119266055046,0.00107267
"after",109,0.443119266055046,0.00107267
"even",108,0.421296296296296,0.00106282
"down",106,0.402830188679245,0.00104314
"great",106,0.581132075471698,0.00104314
"made",106,0.336792452830189,0.00104314
"years",105,0.373333333333333,0.0010333
"got",104,0.390384615384615,0.00102346
"rt",102,0.549019607843137,0.00100378
"still",102,0.562745098039216,0.00100378
"today",100,0.49,0.0009841
"where",99,0.360606060606061,0.00097426
"work",99,0.445454545454545,0.00097426
"being",98,0.514285714285714,0.00096442
"many",98,0.5,0.00096442
"am",97,0.461855670103093,0.00095457
"life",97,0.476288659793814,0.00095457
"any",94,0.536170212765957,0.00092505
"here",94,0.476595744680851,0.00092505
"very",93,0.481720430107527,0.00091521
"thanks",92,0.243478260869565,0.00090537
"take",90,0.334444444444444,0.00088569
"best",89,0.534831460674157,0.00087585
"those",88,0.556818181818182,0.00086601
"never",88,0.509090909090909,0.00086601
"most",86,0.480232558139535,0.00084632
"before",85,0.452941176470588,0.00083648
"while",84,0.5,0.00082664
"around",83,0.354216867469879,0.0008168
"u",83,0.598795180722892,0.0008168
"come",83,0.362650602409639,0.0008168
"things",83,0.43855421686747,0.0008168
"through",82,0.384146341463415,0.00080696
"school",80,0.5425,0.00078728
"next",79,0.363291139240506,0.00077744
"lol",79,0.558227848101266,0.00077744
"happy",77,0.409090909090909,0.00075775
"night",77,0.472727272727273,0.00075775
"these",76,0.552631578947368,0.00074791
"every",75,0.485333333333333,0.00073807
"home",75,0.504,0.00073807
"same",73,0.556164383561644,0.00071839
"game",73,0.479452054794521,0.00071839
"look",73,0.297260273972603,0.00071839
"week",73,0.450684931506849,0.00071839
"little",73,0.536986301369863,0.00071839
"should",69,0.385507246376812,0.00067903
"show",69,0.476811594202899,0.00067903
"may",68,0.452941176470588,0.00066919
"feel",67,0.428358208955224,0.00065934
"that's",66,0.403030303030303,0.0006495
"says",65,0.581538461538462,0.00063966
"another",65,0.646153846153846,0.00063966
"why",65,0.452307692307692,0.00063966
"thing",64,0.39375,0.00062982
"since",64,0.4703125,0.00062982
"city",64,0.6234375,0.00062982
"always",64,0.590625,0.00062982
"sure",63,0.433333333333333,0.00061998
"world",63,0.511111111111111,0.00061998
"man",62,0.530645161290322,0.00061014
"find",62,0.395161290322581,0.00061014
"state",62,0.609677419354839,0.00061014
"does",61,0.413114754098361,0.0006003
"help",61,0.481967213114754,0.0006003
"few",61,0.436065573770492,0.0006003
"you're",60,0.455,0.00059046
"im",60,0.478333333333333,0.00059046
"three",60,0.513333333333333,0.00059046
"something",59,0.450847457627119,0.00058062
"hope",58,0.313793103448276,0.00057078
"can't",58,0.43448275862069,0.00057078
"follow",58,0.386206896551724,0.00057078
"own",57,0.7,0.00056094
"used",57,0.380701754385965,0.00056094
"everyone",56,0.55,0.00055109
"free",56,0.6,0.00055109
"tonight",55,0.572727272727273,0.00054125
"lot",55,0.28,0.00054125
"days",54,0.531481481481481,0.00053141
"again",54,0.544444444444444,0.00053141
"keep",54,0.427777777777778,0.00053141
"doing",54,0.47962962962963,0.00053141
"looking",53,0.224528301886793,0.00052157
"job",53,0.462264150943396,0.00052157
"part",52,0.255769230769231,0.00051173
"long",52,0.538461538461538,0.00051173
"during",52,0.323076923076923,0.00051173
"use",51,0.452941176470588,0.00050189
"getting",51,0.494117647058824,0.00050189
"high",51,0.425490196078431,0.00050189
"friends",51,0.452941176470588,0.00050189
"better",51,0.52156862745098,0.00050189
"season",50,0.518,0.00049205
"big",50,0.602,0.00049205
"call",50,0.504,0.00049205
"having",50,0.406,0.00049205
"family",49,0.557142857142857,0.00048221
"bad",49,0.528571428571429,0.00048221
"business",49,0.585714285714286,0.00048221
"money",48,0.525,0.00047237
"place",48,0.4375,0.00047237
"each",47,0.476595744680851,0.00046253
"oh",47,0.431914893617021,0.00046253
"give",47,0.402127659574468,0.00046253
"point",47,0.521276595744681,0.00046253
"play",46,0.56304347826087,0.00045268
"story",46,0.578260869565217,0.00045268
"god",46,0.48695652173913,0.00045268
"such",46,0.273913043478261,0.00045268
"put",46,0.471739130434783,0.00045268
"tell",46,0.273913043478261,0.00045268
"thank",46,0.106521739130435,0.00045268
"house",45,0.637777777777778,0.00044284
"enough",45,0.482222222222222,0.00044284
"live",45,0.451111111111111,0.00044284
"working",45,0.342222222222222,0.00044284
"both",45,0.575555555555556,0.00044284
"million",44,0.556818181818182,0.000433
"once",44,0.461363636363636,0.000433
"went",44,0.302272727272727,0.000433
"saw",44,0.540909090909091,0.000433
"found",43,0.390697674418605,0.00042316
"didn't",43,0.488372093023256,0.00042316
"told",43,0.488372093023256,0.00042316
"talk",43,0.374418604651163,0.00042316
"pretty",43,0.504651162790698,0.00042316
"though",43,0.537209302325581,0.00042316
"someone",42,0.5,0.00041332
"until",42,0.45,0.00041332
"fun",42,0.6,0.00041332
"done",42,0.533333333333333,0.00041332
"set",41,0.495121951219512,0.00040348
"end",41,0.341463414634146,0.00040348
"different",41,0.597560975609756,0.00040348
"nothing",41,0.426829268292683,0.00040348
"i've",40,0.35,0.00039364
"let",40,0.315,0.00039364
"might",40,0.42,0.00039364
"county",40,0.6125,0.00039364
"bit",40,0.4375,0.00039364
"team",40,0.4725,0.00039364
"without",39,0.574358974358974,0.0003838
"away",39,0.430769230769231,0.0003838
"food",39,0.628205128205128,0.0003838
"makes",39,0.341025641025641,0.0003838
"news",39,0.538461538461538,0.0003838
"open",39,0.628205128205128,0.0003838
"miss",39,0.448717948717949,0.0003838
"try",39,0.305128205128205,0.0003838
"minutes",38,0.497368421052632,0.00037396
"making",38,0.442105263157895,0.00037396
"small",38,0.607894736842105,0.00037396
"girl",38,0.571052631578947,0.00037396
"weekend",38,0.644736842105263,0.00037396
"yet",38,0.534210526315789,0.00037396
"past",38,0.534210526315789,0.00037396
"month",38,0.552631578947368,0.00037396
"wait",38,0.276315789473684,0.00037396
"trying",38,0.0552631578947369,0.00037396
"thought",38,0.442105263157895,0.00037396
"nice",38,0.607894736842105,0.00037396
"friend",37,0.567567567567568,0.00036412
"book",37,0.586486486486486,0.00036412
"ever",37,0.548648648648649,0.00036412
"dont",37,0.378378378378378,0.00036412
"please",37,0.510810810810811,0.00036412
"left",37,0.472972972972973,0.00036412
"person",36,0.447222222222222,0.00035427
"haha",36,0.641666666666667,0.00035427
"start",36,0.583333333333333,0.00035427
"friday",36,0.583333333333333,0.00035427
"guy",36,0.563888888888889,0.00035427
"office",36,0.544444444444444,0.00035427
"white",36,0.583333333333333,0.00035427
"coming",36,0.388888888888889,0.00035427
"check",36,0.408333333333333,0.00035427
"times",36,0.544444444444444,0.00035427
"four",36,0.602777777777778,0.00035427
"maybe",36,0.525,0.00035427
"music",35,0.56,0.00034443
"full",35,0.44,0.00034443
"read",35,0.54,0.00034443
"d",35,0.62,0.00034443
"forward",35,0.3,0.00034443
"must",35,0.44,0.00034443
"hours",35,0.64,0.00034443
"p.m",35,-0.14,0.00034443
"ready",35,0.26,0.00034443
"i'll",35,0.54,0.00034443
"five",34,0.555882352941176,0.00033459
"called",34,0.617647058823529,0.00033459
"support",34,0.535294117647059,0.00033459
"run",34,0.514705882352941,0.00033459
"name",34,0.494117647058823,0.00033459
"hit",34,0.391176470588235,0.00033459
"together",34,0.473529411764706,0.00033459
"real",34,0.576470588235294,0.00033459
"st",34,0.411764705882353,0.00033459
"students",34,0.597058823529412,0.00033459
"believe",34,0.432352941176471,0.00033459
"stop",34,0.514705882352941,0.00033459
"anyone",34,0.494117647058824,0.00033459
"came",34,0.288235294117647,0.00033459
"between",34,0.473529411764706,0.00033459
"comes",34,0.432352941176471,0.00033459
"anything",34,0.514705882352941,0.00033459
"watching",33,0.487878787878788,0.00032475
"children",33,0.53030303030303,0.00032475
"goes",33,0.487878787878788,0.00032475
"morning",33,0.593939393939394,0.00032475
"group",33,0.53030303030303,0.00032475
"hear",33,0.509090909090909,0.00032475
"least",33,0.572727272727273,0.00032475
"several",33,0.657575757575757,0.00032475
"later",33,0.615151515151515,0.00032475
"police",33,0.53030303030303,0.00032475
"there's",32,0.30625,0.00031491
"running",32,0.503125,0.00031491
"park",32,0.56875,0.00031491
"we're",32,0.525,0.00031491
"fact",32,0.328125,0.00031491
"mind",32,0.6125,0.00031491
"health",32,0.546875,0.00031491
"party",32,0.546875,0.00031491
"against",32,0.459375,0.00031491
"everything",32,0.56875,0.00031491
"kind",32,0.153125,0.00031491
"center",32,0.546875,0.00031491
"kids",32,0.503125,0.00031491
"local",32,0.678125,0.00031491
"president",31,0.609677419354839,0.00030507
"top",31,0.564516129032258,0.00030507
"yes",31,0.587096774193548,0.00030507
"idea",31,0.406451612903226,0.00030507
"far",31,0.519354838709677,0.00030507
"hard",31,0.406451612903226,0.00030507
"actually",30,0.653333333333333,0.00029523
"doesn't",30,0.513333333333333,0.00029523
"officials",30,0.466666666666667,0.00029523
"half",30,0.56,0.00029523
"late",30,0.653333333333333,0.00029523
"awesome",30,0.676666666666667,0.00029523
"become",30,0.373333333333333,0.00029523
"able",30,0.0233333333333333,0.00029523
"second",30,0.583333333333333,0.00029523
