word,count,disc_count,fw_count,estimate,leftover_prob
of_the,441,440.3,1984,0.221925403,0.574603175
in_the,397,396.3,1587,0.249716446,0.530730479
to_the,234,233.3,2827,0.082525646,0.634188034
on_the,211,210.3,869,0.242002301,0.600473934
for_the,193,192.3,1092,0.176098901,0.562176166
to_be,174,173.3,2827,0.061301733,0.494827586
at_the,149,148.3,601,0.246755408,0.544966443
and_the,134,133.3,2430,0.054855967,0.658208955
with_the,109,108.3,735,0.147346939,0.610091743
for_a,101,100.3,1092,0.091849817,0.540594059
it_is,99,98.3,936,0.105021368,0.509090909
in_a,96,95.3,1587,0.06005041,0.641666667
is_a,95,94.3,1138,0.082864675,0.618947368
it_was,94,93.3,936,0.099679487,0.491489362
if_you,89,88.3,280,0.315357143,0.353932584
i_was,85,84.3,1571,0.053660089,0.510588235
will_be,84,83.3,318,0.261949686,0.516666667
i_have,83,82.3,1571,0.052387015,0.371084337
from_the,81,80.3,394,0.203807107,0.674074074
is_the,79,78.3,1138,0.068804921,0.53164557
i_am,78,77.3,1571,0.049204328,0.484615385
with_a,76,75.3,735,0.10244898,0.672368421
to_a,75,74.3,2827,0.026282278,0.653333333
of_a,73,72.3,1984,0.036441532,0.680821918
have_to,73,72.3,518,0.13957529,0.421917808
as_a,71,70.3,492,0.142886179,0.601408451
going_to,71,70.3,127,0.553543307,0.364788732
i_think,70,69.3,1571,0.044112031,0.35
one_of,70,69.3,270,0.256666667,0.16
that_the,69,68.3,1112,0.061420863,0.689855072
to_get,69,68.3,2827,0.024159887,0.456521739
want_to,68,67.3,115,0.585217391,0.432352941
this_is,66,65.3,563,0.11598579,0.360606061
he_was,65,64.3,503,0.127833002,0.581538462
about_the,64,63.3,351,0.18034188,0.65625
the_same,61,60.3,4856,0.012417628,0.585245902
out_of,61,60.3,282,0.213829787,0.413114754
and_i,61,60.3,2430,0.024814815,0.481967213
have_a,60,59.3,518,0.114478764,0.606666667
was_a,60,59.3,638,0.092946708,0.63
by_the,60,59.3,290,0.204482759,0.653333333
i_love,60,59.3,1571,0.037746658,0.361666667
on_a,59,58.3,869,0.067088608,0.66440678
to_do,57,56.3,2827,0.019915104,0.466666667
that_i,57,56.3,1112,0.050629496,0.466666667
a_lot,53,52.3,2406,0.021737323,0.290566038
the_first,52,51.3,4856,0.01056425,0.498076923
to_go,52,51.3,2827,0.018146445,0.484615385
to_see,52,51.3,2827,0.018146445,0.471153846
and_a,51,50.3,2430,0.020699588,0.603921569
as_the,51,50.3,492,0.102235772,0.68627451
is_not,50,49.3,1138,0.043321617,0.518
to_have,46,45.3,2827,0.016024054,0.410869565
need_to,46,45.3,111,0.408108108,0.532608696
have_been,45,44.3,518,0.085521236,0.653333333
a_few,45,44.3,2406,0.018412303,0.482222222
we_are,44,43.3,453,0.095584989,0.493181818
all_the,44,43.3,340,0.127352941,0.525
that_is,43,42.3,1112,0.038039568,0.553488372
are_you,43,42.3,531,0.079661017,0.586046512
you_can,43,42.3,1035,0.040869565,0.586046512
be_a,43,42.3,527,0.080265655,0.586046512
you_are,43,42.3,1035,0.040869565,0.520930233
you_have,43,42.3,1035,0.040869565,0.406976744
a_good,42,41.3,2406,0.01716542,0.55
but_i,42,41.3,498,0.082931727,0.45
a_little,42,41.3,2406,0.01716542,0.45
more_than,42,41.3,251,0.164541833,0.566666667
i_just,41,40.3,1571,0.025652451,0.563414634
of_my,40,39.3,1984,0.019808468,0.665
the_best,40,39.3,4856,0.008093081,0.665
thank_you,40,39.3,46,0.854347826,0.5075
has_been,40,39.3,245,0.160408163,0.6475
he_said,39,38.3,503,0.076143141,0.502564103
we_have,39,38.3,453,0.084547461,0.412820513
there_are,39,38.3,227,0.168722467,0.448717949
and_then,38,37.3,2430,0.015349794,0.607894737
a_great,38,37.3,2406,0.015502909,0.534210526
the_new,38,37.3,4856,0.007681219,0.607894737
there_is,37,36.3,227,0.159911894,0.416216216
into_the,37,36.3,151,0.240397351,0.681081081
to_make,37,36.3,2827,0.012840467,0.510810811
the_other,37,36.3,4856,0.007475288,0.586486486
trying_to,36,35.3,38,0.928947368,0.486111111
i_know,36,35.3,1571,0.022469764,0.486111111
thanks_for,36,35.3,92,0.383695652,0.291666667
that_he,36,35.3,1112,0.031744604,0.447222222
he_is,36,35.3,503,0.070178926,0.583333333
of_his,35,34.3,1984,0.017288306,0.64
when_i,35,34.3,271,0.126568266,0.56
i_had,35,34.3,1571,0.021833227,0.44
would_be,35,34.3,178,0.192696629,0.5
back_to,35,34.3,135,0.254074074,0.54
i_can,34,33.3,1571,0.02119669,0.535294118
the_way,34,33.3,4856,0.006857496,0.514705882
they_are,34,33.3,340,0.097941176,0.597058824
it's_a,34,33.3,185,0.18,0.658823529
i_don't,34,33.3,1571,0.02119669,0.411764706
in_my,33,32.3,1587,0.020352867,0.593939394
up_to,32,31.3,301,0.103986711,0.525
but_the,32,31.3,498,0.062851406,0.7
at_a,32,31.3,601,0.052079867,0.7
do_you,32,31.3,243,0.128806584,0.48125
so_i,32,31.3,387,0.080878553,0.48125
so_much,32,31.3,387,0.080878553,0.525
