"word","count","leftover_prob","estimate","beta"
"the",4856,0.370613673805601,0.04778775,0.61622593
"to",2827,0.24464096215069,0.02782042,0.52972191
"and",2430,0.400699588477366,0.02391356,0.39857157
"a",2406,0.399750623441397,0.02367737,0.75263026
"of",1984,0.321774193548387,0.01952448,0.59353065
"in",1587,0.261562696912413,0.01561762,0.59312697
"i",1571,0.151050286441757,0.01546016,0.75751013
"is",1138,0.282337434094903,0.01119902,0.58068777
"that",1112,0.327338129496403,0.01094316,0.4999328
"for",1092,0.285897435897436,0.01074634,0.62156717
"you",1035,0.253623188405797,0.0101854,0.54991493
"it",936,0.246047008547009,0.00921115,0.55839782
"on",869,0.288377445339471,0.0085518,0.63352391
"with",735,0.326666666666667,0.00723311,0.65542004
"was",638,0.38730407523511,0.00627854,0.61174582
"at",601,0.313311148086522,0.00591442,0.69913362
"this",563,0.37797513321492,0.00554047,0.68967633
"are",531,0.377024482109228,0.00522556,0.68759991
"be",527,0.410436432637571,0.00518619,0.67527913
"have",518,0.272972972972973,0.00509762,0.69354378
"he",503,0.30337972166998,0.00495001,0.89285304
"but",498,0.285341365461847,0.0049008,0.60139299
"my",497,0.492957746478873,0.00489096,0.93104595
"as",492,0.278861788617886,0.00484176,0.72411975
"not",455,0.370769230769231,0.00447764,0.6503715
"we",453,0.276600441501104,0.00445796,0.87308238
"from",394,0.397969543147208,0.00387734,0.70971256
"so",387,0.336434108527132,0.00380846,0.71168074
"about",351,0.339031339031339,0.00345418,0.72844972
"your",346,0.517919075144509,0.00340498,0.88395679
"they",340,0.298529411764706,0.00334593,0.86785684
"all",340,0.329411764705882,0.00334593,0.66302697
"me",337,0.367655786350148,0.00331641,0.62031716
"said",328,0.347865853658537,0.00322784,0.64677955
"his",323,0.535294117647059,0.00317863,0.92957953
"will",318,0.319182389937107,0.00312943,0.82907362
"what",304,0.2625,0.00299165,0.7146231
"up",301,0.288372093023256,0.00296213,0.65628587
"or",294,0.538095238095238,0.00289325,0.68049472
"just",290,0.446551724137931,0.00285388,0.73501363
"by",290,0.446551724137931,0.00285388,0.7711301
"an",289,0.554671280276817,0.00284404,0.94737211
"out",282,0.228368794326241,0.00277515,0.67243488
"if",280,0.18,0.00275547,0.75731321
"when",271,0.250553505535055,0.0026669,0.75765763
"one",270,0.365555555555556,0.00265706,0.67943183
"who",258,0.412403100775194,0.00253897,0.79785802
"more",251,0.457370517928287,0.00247008,0.75804157
"like",245,0.322857142857143,0.00241104,0.73645039
"has",245,0.351428571428571,0.00241104,0.81254075
"do",243,0.279423868312757,0.00239136,0.68399801
"she",229,0.348471615720524,0.00225358,0.91649092
"there",227,0.277533039647577,0.0022339,0.67805404
"had",226,0.38716814159292,0.00222406,0.75307185
"can",225,0.401333333333333,0.00221422,0.78826306
"her",216,0.573611111111111,0.00212565,0.72212199
"time",212,0.359905660377358,0.00208629,0.65976952
"some",212,0.498584905660377,0.00208629,0.84527185
"their",204,0.590196078431372,0.00200756,0.96784119
"get",202,0.35,0.00198788,0.70218413
"no",201,0.477114427860696,0.00197803,0.84831269
"were",198,0.51969696969697,0.00194851,0.78209285
"its",198,0.51969696969697,0.00194851,0.83467313
"good",194,0.422164948453608,0.00190915,0.76735104
"day",192,0.4484375,0.00188947,0.65558718
"it's",185,0.329189189189189,0.00182058,0.81020845
"new",184,0.521195652173913,0.00181074,0.86084028
"them",182,0.361538461538461,0.00179106,0.6830828
"our",182,0.6,0.00179106,0.9668177
"would",178,0.318539325842697,0.00175169,0.91367639
"people",175,0.444,0.00172217,0.70272536
"i'm",165,0.394545454545455,0.00162376,0.822057
"how",161,0.3,0.0015844,0.75965536
"now",161,0.478260869565217,0.0015844,0.70034386
"been",161,0.513043478260869,0.0015844,0.83038249
"only",151,0.491390728476821,0.00148599,0.75413464
"into",151,0.366225165562914,0.00148599,0.8514126
"which",149,0.441610738255033,0.0014663,0.77020494
"than",148,0.439864864864865,0.00145646,0.76493014
"love",146,0.373972602739726,0.00143678,0.75697866
"last",145,0.275172413793103,0.00142694,0.94680107
"also",145,0.531034482758621,0.00142694,0.79195347
"know",143,0.303496503496503,0.00140726,0.72069495
"think",140,0.275,0.00137774,0.75982264
"then",137,0.475182481751825,0.00134821,0.74219752
"other",136,0.617647058823529,0.00133837,0.90987784
"back",135,0.357777777777778,0.00132853,0.73632248
"way",134,0.355223880597015,0.00131869,0.7059335
"really",129,0.52093023255814,0.00126949,0.83474197
"see",129,0.341860465116279,0.00126949,0.78606853
"go",127,0.396850393700787,0.0012498,0.81907513
"make",127,0.308661417322835,0.0012498,0.79568316
"over",127,0.358267716535433,0.0012498,0.76532378
"because",127,0.253543307086614,0.0012498,0.81842565
"going",127,0.176377952755906,0.0012498,0.82640668
"too",126,0.516666666666667,0.00123996,0.77612916
"well",125,0.4592,0.00123012,0.74584851
"year",125,0.4032,0.00123012,0.70593352
"two",120,0.5775,0.00118092,0.90494753
"don't",119,0.352941176470588,0.00117108,0.93265958
"first",117,0.532478632478632,0.00115139,0.82983132
"him",116,0.398275862068965,0.00114155,0.70530372
"want",115,0.225217391304348,0.00113171,0.80780723
"much",115,0.407826086956522,0.00113171,0.75330795
"right",113,0.408849557522124,0.00111203,0.7277214
"us",112,0.49375,0.00110219,0.71837254
"could",111,0.416216216216216,0.00109235,0.91642205
"need",111,0.220720720720721,0.00109235,0.78842052
"did",110,0.330909090909091,0.00108251,0.77388538
"off",109,0.385321100917431,0.00107267,0.72994548
"say",109,0.443119266055046,0.00107267,0.72996517
"after",109,0.443119266055046,0.00107267,0.83309857
"even",108,0.421296296296296,0.00106282,0.79998366
"down",106,0.402830188679245,0.00104314,0.75590596
"great",106,0.581132075471698,0.00104314,0.83283288
"made",106,0.336792452830189,0.00104314,0.73708019
"years",105,0.373333333333333,0.0010333,0.75647677
"got",104,0.390384615384615,0.00102346,0.79148107
"rt",102,0.549019607843137,0.00100378,0.83784186
"still",102,0.562745098039216,0.00100378,0.78140393
"today",100,0.49,0.0009841,0.71871691
"where",99,0.360606060606061,0.00097426,0.74790524
"work",99,0.445454545454545,0.00097426,0.71502659
"being",98,0.514285714285714,0.00096442,0.83091388
"many",98,0.5,0.00096442,0.88688933
"am",97,0.461855670103093,0.00095457,0.78253562
"life",97,0.476288659793814,0.00095457,0.71158223
"any",94,0.536170212765957,0.00092505,0.93882988
"here",94,0.476595744680851,0.00092505,0.73731637
"very",93,0.481720430107527,0.00091521,0.98472822
"thanks",92,0.243478260869565,0.00090537,0.83194713
"take",90,0.334444444444444,0.00088569,0.76862048
"best",89,0.534831460674157,0.00087585,0.83908185
"those",88,0.556818181818182,0.00086601,0.89835403
"never",88,0.509090909090909,0.00086601,0.86116496
"most",86,0.480232558139535,0.00084632,0.91917752
"before",85,0.452941176470588,0.00083648,0.82786313
"while",84,0.5,0.00082664,0.77749704
"around",83,0.354216867469879,0.0008168,0.76618977
"u",83,0.598795180722892,0.0008168,0.89343352
"come",83,0.362650602409639,0.0008168,0.81829773
"things",83,0.43855421686747,0.0008168,0.7370999
"through",82,0.384146341463415,0.00080696,0.7984583
"school",80,0.5425,0.00078728,0.81613266
"next",79,0.363291139240506,0.00077744,0.95641571
"lol",79,0.558227848101266,0.00077744,0.83999706
"happy",77,0.409090909090909,0.00075775,0.81211758
"night",77,0.472727272727273,0.00075775,0.74310285
"these",76,0.552631578947368,0.00074791,0.95638621
"every",75,0.485333333333333,0.00073807,0.98185465
"home",75,0.504,0.00073807,0.74664561
"same",73,0.556164383561644,0.00071839,0.89837366
"game",73,0.479452054794521,0.00071839,0.8253832
"look",73,0.297260273972603,0.00071839,0.80942115
"week",73,0.450684931506849,0.00071839,0.73668654
"little",73,0.536986301369863,0.00071839,0.92830007
"should",69,0.385507246376812,0.00067903,0.87161607
"show",69,0.476811594202899,0.00067903,0.78559616
"may",68,0.452941176470588,0.00066919,0.86506199
"feel",67,0.428358208955224,0.00065934,0.8198329
"that's",66,0.403030303030303,0.0006495,0.87722542
"says",65,0.581538461538462,0.00063966,0.76833512
"another",65,0.646153846153846,0.00063966,0.8751982
"why",65,0.452307692307692,0.00063966,0.82655425
"thing",64,0.39375,0.00062982,0.81599493
"since",64,0.4703125,0.00062982,0.8192621
"city",64,0.6234375,0.00062982,0.88928059
"always",64,0.590625,0.00062982,0.85072372
"sure",63,0.433333333333333,0.00061998,0.82773519
"world",63,0.511111111111111,0.00061998,0.76617007
"man",62,0.530645161290322,0.00061014,0.7823585
"find",62,0.395161290322581,0.00061014,0.85536862
"state",62,0.609677419354839,0.00061014,0.77860908
"does",61,0.413114754098361,0.0006003,0.8356867
"help",61,0.481967213114754,0.0006003,0.79485652
"few",61,0.436065573770492,0.0006003,0.96805759
"you're",60,0.455,0.00059046,0.87708764
"im",60,0.478333333333333,0.00059046,0.9248459
"three",60,0.513333333333333,0.00059046,0.93143935
"something",59,0.450847457627119,0.00058062,0.75530565
"hope",58,0.313793103448276,0.00057078,0.82969351
"can't",58,0.43448275862069,0.00057078,0.9689039
"follow",58,0.386206896551724,0.00057078,0.87396806
"own",57,0.7,0.00056094,0.9503931
"used",57,0.380701754385965,0.00056094,0.78429714
"everyone",56,0.55,0.00055109,0.84896219
"free",56,0.6,0.00055109,0.92784741
"tonight",55,0.572727272727273,0.00054125,0.80442195
"lot",55,0.28,0.00054125,0.86896885
"days",54,0.531481481481481,0.00053141,0.76493996
"again",54,0.544444444444444,0.00053141,0.82434004
"keep",54,0.427777777777778,0.00053141,0.80365434
"doing",54,0.47962962962963,0.00053141,0.81509938
"looking",53,0.224528301886793,0.00052157,0.9441145
"job",53,0.462264150943396,0.00052157,0.77485967
"part",52,0.255769230769231,0.00051173,0.88892633
"long",52,0.538461538461538,0.00051173,0.86907711
"during",52,0.323076923076923,0.00051173,0.89362048
"use",51,0.452941176470588,0.00050189,0.83007733
"getting",51,0.494117647058824,0.00050189,0.87508007
"high",51,0.425490196078431,0.00050189,0.93425384
"friends",51,0.452941176470588,0.00050189,0.81979352
"better",51,0.52156862745098,0.00050189,0.85911803
"season",50,0.518,0.00049205,0.78901097
"big",50,0.602,0.00049205,0.9169239
"call",50,0.504,0.00049205,0.81097603
"having",50,0.406,0.00049205,0.85154049
"family",49,0.557142857142857,0.00048221,0.82317882
"bad",49,0.528571428571429,0.00048221,0.89657278
"business",49,0.585714285714286,0.00048221,0.80906687
"money",48,0.525,0.00047237,0.79963922
"place",48,0.4375,0.00047237,0.79347877
"each",47,0.476595744680851,0.00046253,0.96717188
"oh",47,0.431914893617021,0.00046253,0.92360591
"give",47,0.402127659574468,0.00046253,0.8620408
"point",47,0.521276595744681,0.00046253,0.77877639
"play",46,0.56304347826087,0.00045268,0.80899797
"story",46,0.578260869565217,0.00045268,0.85049737
"god",46,0.48695652173913,0.00045268,0.83078587
"such",46,0.273913043478261,0.00045268,0.96230059
"put",46,0.471739130434783,0.00045268,0.8467381
"tell",46,0.273913043478261,0.00045268,0.89738956
"thank",46,0.106521739130435,0.00045268,0.9528336
"house",45,0.637777777777778,0.00044284,0.8285815
"enough",45,0.482222222222222,0.00044284,0.79073312
"live",45,0.451111111111111,0.00044284,0.82361181
"working",45,0.342222222222222,0.00044284,0.8269676
"both",45,0.575555555555556,0.00044284,0.87654643
"million",44,0.556818181818182,0.000433,0.85625431
"once",44,0.461363636363636,0.000433,0.86879173
"went",44,0.302272727272727,0.000433,0.92397003
"saw",44,0.540909090909091,0.000433,0.85323316
"found",43,0.390697674418605,0.00042316,0.85666764
"didn't",43,0.488372093023256,0.00042316,0.94645664
"told",43,0.488372093023256,0.00042316,0.82590476
"talk",43,0.374418604651163,0.00042316,0.80114489
"pretty",43,0.504651162790698,0.00042316,0.96503641
"though",43,0.537209302325581,0.00042316,0.83365945
"someone",42,0.5,0.00041332,0.91570361
"until",42,0.45,0.00041332,0.87153732
"fun",42,0.6,0.00041332,0.83808791
