"word","count","disc_count","fw_count","estimate","leftover_prob","beta"
"of_the",441,440.3,1984,0.221925403,0.574603175,0.759143265605601
"in_the",397,396.3,1587,0.249716446,0.530730479,0.784122665005601
"to_the",234,233.3,2827,0.082525646,0.634188034,0.848105371405601
"on_the",211,210.3,869,0.242002301,0.600473934,0.866083132605601
"for_the",193,192.3,1092,0.176098901,0.562176166,0.860687744205601
"to_be",174,173.3,2827,0.061301733,0.494827586,0.597912714637571
"at_the",149,148.3,601,0.246755408,0.544966443,0.913550182205601
"and_the",134,133.3,2430,0.054855967,0.658208955,0.921169619805601
"with_the",109,108.3,735,0.147346939,0.610091743,0.919378023205601
"for_a",101,100.3,1092,0.091849817,0.540594059,0.843848421441397
"it_is",99,98.3,936,0.105021368,0.509090909,0.575922560094903
"in_a",96,95.3,1587,0.06005041,0.641666667,0.883748672441397
"is_a",95,94.3,1138,0.082864675,0.618947368,0.868037948441397
"it_was",94,93.3,936,0.099679487,0.491489362,0.70250775423511
"if_you",89,88.3,280,0.315357143,0.353932584,0.629468599405797
"i_was",85,84.3,1571,0.053660089,0.510588235,0.70595603023511
"will_be",84,83.3,318,0.261949686,0.516666667,0.689563569637571
"i_have",83,82.3,1571,0.052387015,0.371084337,0.513127469972973
"from_the",81,80.3,394,0.203807107,0.674074074,0.944316243405601
"is_the",79,78.3,1138,0.068804921,0.53164557,0.909802240405601
"i_am",78,77.3,1571,0.049204328,0.484615385,0.492783510103093
"with_a",76,75.3,735,0.10244898,0.672368421,0.891853413441397
"to_a",75,74.3,2827,0.026282278,0.653333333,0.926308936441397
"of_a",73,72.3,1984,0.036441532,0.680821918,0.848461885441397
"have_to",73,72.3,518,0.13957529,0.421917808,0.78026196615069
"as_a",71,70.3,492,0.142886179,0.601408451,0.958603201441397
"going_to",71,70.3,127,0.553543307,0.364788732,0.68302107315069
"i_think",70,69.3,1571,0.044112031,0.35,0.360714283
"one_of",70,69.3,270,0.256666667,0.16,0.636693787548387
"that_the",69,68.3,1112,0.061420863,0.689855072,0.944316245605601
"to_get",69,68.3,2827,0.024159887,0.456521739,0.542079234
"want_to",68,67.3,115,0.585217391,0.432352941,0.77552196115069
"this_is",66,65.3,563,0.11598579,0.360606061,0.681722207094903
"he_was",65,64.3,503,0.127833002,0.581538462,0.68150461423511
"about_the",64,63.3,351,0.18034188,0.65625,0.934102074805601
"the_same",61,60.3,4856,0.012417628,0.585245902,0.598630136561644
"out_of",61,60.3,282,0.213829787,0.413114754,0.652822814548387
"and_i",61,60.3,2430,0.024814815,0.481967213,0.527943946441757
"have_a",60,59.3,518,0.114478764,0.606666667,0.866209180441397
