"word","p1","p1_estimate","p2","p2_estimate","p3","p3_estimate"
"of_the","day",0.0233560090702948,"world",0.0165532879818594,"year",0.0142857142857143
"in_the","past",0.0183879093198992,"world",0.0183879093198992,"middle",0.0158690176322418
"to_the","next",0.0141025641025641,"top",0.00982905982905983,"game",0.00982905982905983
"on_the","other",0.0298578199052133,"way",0.0156398104265403,"floor",0.0109004739336493
"for_the","follow",0.0481865284974093,"first",0.0274611398963731,"weekend",0.0170984455958549
"to_be","a",0.0879310344827586,"in",0.0419540229885057,"the",0.0304597701149425
"at_the","time",0.0557046979865772,"end",0.048993288590604,"same",0.0355704697986577
"and_the","many",0.0171641791044776,"new",0.00970149253731343,"freestyle",0.00970149253731343
"with_the","new",0.0302752293577982,"same",0.0302752293577982,"other",0.0211009174311927
"for_a","while",0.0722772277227723,"few",0.0425742574257426,"couple",0.0227722772277228
"it_is","a",0.0434343434343434,"not",0.0434343434343434,"the",0.0434343434343434
"in_a","few",0.0239583333333333,"lot",0.0157829,"speech",0.0135416666666667
"is_a","good",0.0347368421052632,"bit",0.0242105263157895,"lot",0.01549962
"it_was","a",0.152127659574468,"not",0.0457446808510638,"the",0.0351063829787234
"if_you","have",0.115730337078652,"are",0.104494382022472,"want",0.0595505617977528
"i_was","a",0.0623529411764706,"in",0.0623529411764706,"too",0.0388235294117647
"will_be","the",0.075,"a",0.0511904761904762,"on",0.0273809523809524
"i_have","a",0.124096385542169,"to",0.1,"been",0.0879518072289157
"from_the","edge",0.0160493827160494,"field",0.0160493827160494,"same",0.0160493827160494
"is_the","only",0.0544303797468354,"most",0.0544303797468354,"best",0.0417721518987342
"i_am","not",0.0935897435897436,"so",0.0423076923076923,"trying",0.0294871794871795
"with_a","little",0.0171052631578947,"new",0.0171052631578947,"home",0.0171052631578947
"to_a","lead",0.0173333333333333,"bar",0.0173333333333333,"different",0.0173333333333333
"of_a","long",0.0178082191780822,"mortgage",0.0178082191780822,"little",0.01377386
"have_to","be",0.127397260273973,"do",0.0452054794520548,"the",0.04462481
"as_a","way",0.0464788732394366,"result",0.0464788732394366,"very",0.0183098591549296
"going_to","be",0.271830985915493,"the",0.0746478873239437,"go",0.0323943661971831
"i_think","i",0.175714285714286,"the",0.09,"i'm",0.0614285714285714
"one_of","the",0.39,"those",0.132857142857143,"my",0.09
"that_the","city",0.0188405797101449,"same",0.0090715,"first",0.00771754
"to_get","a",0.091304347826087,"it",0.05128052,"all",0.0333333333333333
"want_to","be",0.0926470588235294,"go",0.0779411764705882,"do",0.0632352941176471
"this_is","a",0.156060606060606,"the",0.140909090909091,"what",0.0651515151515152
"he_was","a",0.0815384615384615,"still",0.0353846153846154,"taken",0.02
"about_the","state",0.0203125,"need",0.0203125,"job",0.0203125
"the_same","time",0.0704918032786885,"thing",0.0540983606557377,"issue",0.0213114754098361
"out_of","the",0.234426229508197,"her",0.0540983606557377,"a",0.0377049180327869
"and_i","will",0.0868852459016393,"can't",0.0540983606557377,"am",0.0540983606557377
"have_a","great",0.0716666666666667,"weird",0.0216666666666667,"heart",0.0216666666666667
"was_a","good",0.0383333333333333,"difficult",0.0216666666666667,"huge",0.0216666666666667
"by_the","time",0.0383333333333333,"same",0.0383333333333333,"first",0.00734163
"i_love","you",0.121666666666667,"the",0.0716666666666667,"my",0.055
"on_a","daily",0.0389830508474576,"per",0.0220338983050847,"lot",0.01491415
"to_do","you",0.09112081,"the",0.0578947368421053,"not",0.04163028
"that_i","had",0.0578947368421053,"am",0.0578947368421053,"can",0.0403508771929824
"a_lot","of",0.552830188679245,"less",0.0245283018867925,"and",0.0245283018867925
"the_first","time",0.198076923076923,"thing",0.0442307692307692,"period",0.025
"to_go","to",0.101923076923077,"for",0.0442307692307692,"with",0.0442307692307692
"to_see","the",0.0826923076923077,"you",0.0826923076923077,"it",0.03755061
"and_a","half",0.143137254901961,"lot",0.01375958,"few",0.01165486
"as_the","first",0.0254901960784314,"same",0.00906315,"best",0.00590683
"is_not","an",0.106,"to",0.046,"only",0.046
"to_have","a",0.180434782608696,"the",0.13695652173913,"them",0.05
"need_to","the",0.05396637,"know",0.05,"be",0.05
"have_been","known",0.0288888888888889,"in",0.0288888888888889,"working",0.0288888888888889
"a_few","days",0.0733333333333333,"years",0.0733333333333333,"minutes",0.0511111111111111
"we_are","in",0.120454545454545,"not",0.075,"now",0.0522727272727273
"all_the","way",0.143181818181818,"time",0.0977272727272727,"moms",0.0295454545454545
"that_is","the",0.1,"not",0.0767441860465116,"a",0.05794179
"are_you","going",0.0534883720930233,"serious",0.0302325581395349,"talking",0.0302325581395349
"you_can","see",0.0534883720930233,"stop",0.0302325581395349,"begin",0.0302325581395349
"be_a","good",0.0767441860465116,"surprise",0.0302325581395349,"christian",0.0302325581395349
"you_are","a",0.169767441860465,"amazing",0.0302325581395349,"so",0.0302325581395349
"you_have","to",0.23953488372093,"the",0.1,"a",0.0534883720930233
"a_good","thing",0.0785714285714286,"job",0.0547619047619048,"story",0.0547619047619048
"but_i","am",0.102380952380952,"have",0.0785714285714286,"wasn't",0.0547619047619048
"a_little","bit",0.269047619047619,"more",0.102380952380952,"closer",0.00714285714285714
"more_than","the",0.0547619047619048,"a",0.0547619047619048,"million",0.0547619047619048
"i_just","wanna",0.0804878048780488,"have",0.0317073170731707,"had",0.0317073170731707
"of_my","favorite",0.0325,"life",0.0325,"friends",0.01094342
"the_best","i",0.0575,"friend",0.05137755,"to",0.0319898
"thank_you","for",0.1575,"very",0.0325,"but",0.0325
"has_been","a",0.0575,"the",0.0325,"to",0.02302936
"he_said","he",0.135897435897436,"i",0.0846153846153846,"there",0.058974358974359
"we_have","to",0.238461538461538,"a",0.11025641025641,"been",0.0333333333333333
"there_are","no",0.11025641025641,"several",0.058974358974359,"you",0.04203935
"and_then","i",0.0868421052631579,"you",0.0342105263157895,"he",0.0342105263157895
"a_great","time",0.0868421052631579,"deal",0.0342105263157895,"show",0.0342105263157895
"the_new","york",0.0868421052631579,"challenge",0.0342105263157895,"owners",0.0342105263157895
"there_is","a",0.197297297297297,"no",0.143243243243243,"any",0.0351351351351351
"into_the","air",0.0351351351351351,"same",0.00863669,"history",0.00810810810810811
"to_make","the",0.143243243243243,"a",0.0621621621621622,"you",0.0360671
"the_other","hand",0.0891891891891892,"day",0.0621621621621622,"one",0.0351351351351351
"trying_to","get",0.119444444444444,"find",0.0916666666666667,"make",0.0638888888888889
"i_know","right",0.0916666666666667,"about",0.0638888888888889,"i",0.0638888888888889
"thanks_for","the",0.425,"following",0.0916666666666667,"coming",0.0361111111111111
"that_he","has",0.119444444444444,"is",0.119444444444444,"was",0.0916666666666667
"he_is","not",0.0638888888888889,"the",0.05086304,"very",0.0361111111111111
"of_his","best",0.0371428571428571,"own",0.0371428571428571,"favorite",0.0371428571428571
"when_i","was",0.151428571428571,"get",0.0371428571428571,"think",0.0371428571428571
"i_had","to",0.151428571428571,"the",0.0942857142857143,"no",0.0942857142857143
"would_be","a",0.208571428571429,"good",0.0371428571428571,"nice",0.0371428571428571
"back_to","the",0.122857142857143,"it",0.0657142857142857,"be",0.0391409
"i_can","say",0.0970588235294118,"just",0.0676470588235294,"handle",0.0382352941176471
"the_way","you",0.0676470588235294,"he",0.0676470588235294,"to",0.0382352941176471
"they_are","the",0.0676470588235294,"you",0.05596186,"all",0.0382352941176471
"it's_a","beautiful",0.0382352941176471,"very",0.0382352941176471,"lot",0.01519178
"i_don't","know",0.214705882352941,"want",0.0970588235294118,"think",0.0970588235294118
"in_my","opinion",0.1,"life",0.0393939393939394,"mind",0.0393939393939394
"up_to","the",0.165625,"percent",0.040625,"date",0.040625
"but_the","full",0.009375,"effort",0.009375,"outburst",0.009375
"at_a","lot",0.01538171,"few",0.01302887,"good",0.01214655
"do_you","want",0.134375,"think",0.071875,"have",0.071875
"so_i","have",0.134375,"know",0.071875,"can",0.071875
"so_much","fun",0.103125,"more",0.040625,"for",0.040625
"for_me","i",0.106451612903226,"i'm",0.0419354838709677,"and",0.0419354838709677
"last_year","with",0.0741935483870968,"the",0.0741935483870968,"so",0.0419354838709677
"over_the","last",0.106451612903226,"past",0.0741935483870968,"place",0.0419354838709677
"some_of","the",0.62258064516129,"my",0.0741935483870968,"his",0.0419354838709677
"way_to","get",0.106451612903226,"go",0.0741935483870968,"make",0.0419354838709677
"the_most","important",0.138709677419355,"of",0.09520215,"part",0.0419354838709677
"you_want","to",0.461290322580645,"a",0.0419354838709677,"you",0.01414691
"was_the","second",0.0433333333333333,"first",0.0433333333333333,"cost",0.01
"lot_of","the",0.14577168,"people",0.0766666666666667,"my",0.0433333333333333
"able_to","the",0.06063918,"be",0.04504402,"feel",0.0433333333333333
"at_least","one",0.11,"a",0.0766666666666667,"it",0.0433333333333333
"like_a","lot",0.01581631,"few",0.01339699,"little",0.01248974
"when_you","see",0.0448275862068966,"are",0.0448275862068966,"think",0.0448275862068966
"the_world","the",0.0448275862068966,"of",0.0448275862068966,"in",0.0448275862068966
"you_need","to",0.493103448275862,"a",0.113793103448276,"it",0.0793103448275862
"not_to","be",0.148275862068966,"the",0.05514651,"run",0.0448275862068966
"a_new","york",0.06046925,"phone",0.0448275862068966,"way",0.0448275862068966
"the_time","to",0.113793103448276,"the",0.113793103448276,"of",0.113793103448276
"is_that","we",0.0793103448275862,"you",0.0448275862068966,"it's",0.0448275862068966
"had_a","great",0.0464285714285714,"blast",0.0464285714285714,"lot",0.0464285714285714
"what_i","do",0.117857142857143,"am",0.0464285714285714,"want",0.0464285714285714
"that_we","are",0.0821428571428571,"have",0.0821428571428571,"can",0.0464285714285714
"part_of","the",0.510714285714286,"our",0.0464285714285714,"their",0.0464285714285714
"that_you","have",0.0821428571428571,"need",0.0464285714285714,"can",0.03440143
"of_your","life",0.0821428571428571,"eyes",0.0464285714285714,"soul",0.0464285714285714
"that_are","you",0.056204,"packed",0.0464285714285714,"in",0.0464285714285714
"all_of","the",0.332142857142857,"us",0.153571428571429,"this",0.0464285714285714
"the_last","time",0.117857142857143,"night",0.10528169,"month",0.07583226
"about_it","is",0.07406689,"was",0.0702995,"we",0.0481481481481481
"and_it","was",0.307407407407407,"is",0.159259259259259,"to",0.01304348
"i_will","be",0.159259259259259,"see",0.0481481481481481,"go",0.0481481481481481
"i_did","not",0.165384615384615,"find",0.05,"a",0.03233569
"time_to","buy",0.0884615384615385,"the",0.05409699,"look",0.05
"the_day","in",0.05,"the",0.05,"before",0.05
"kind_of","the",0.15116333,"games",0.05,"a",0.02482196
"as_well","as",0.492,"i",0.02552546,"the",0.01853218
"it_to","a",0.092,"the",0.092,"you",0.052
"the_next","day",0.132,"to",0.10577176,"time",0.07165184
"be_the","first",0.172,"one",0.052,"equivalent",0.052
"to_you","if",0.052,"and",0.052,"it",0.052
"a_bit","of",0.132,"more",0.092,"but",0.05744601
"the_end","of",0.572,"the",0.052,"on",0.01915789
"we_can","all",0.092,"make",0.092,"you",0.03427504
"the_only","thing",0.132,"way",0.092,"ones",0.052
"through_the","first",0.052,"implementation",0.012,"gauntlet",0.012
"i_can't","wait",0.092,"take",0.052,"handle",0.052
"in_this","case",0.092,"country",0.092,"is",0.07049091
"according_to","the",0.332,"a",0.052,"be",0.03105287
"did_not","know",0.052,"get",0.052,"speak",0.052
"i_hope","you",0.3875,"my",0.0958333333333333,"that",0.0541666666666667
"i_got","to",0.0958333333333333,"a",0.0958333333333333,"my",0.0541666666666667
"the_past","few",0.1375,"two",0.0541666666666667,"years",0.0541666666666667
"to_say","that",0.220833333333333,"i",0.0541666666666667,"about",0.0541666666666667
"you_know","if",0.0749053,"that",0.0541666666666667,"it",0.0541666666666667
"and_other","people",0.02336957,"hand",0.01793478,"duties",0.0125
"out_to","be",0.0958333333333333,"sea",0.0541666666666667,"get",0.01864498
"this_year","i",0.0958333333333333,"in",0.05484973,"for",0.03230874
"they_were","still",0.01390728,"straight",0.0130434782608696,"written",0.0130434782608696
"of_those","who",0.1,"that",0.02139738,"tickets",0.0130434782608696
"it's_not","worth",0.0565217391304348,"the",0.02285142,"sure",0.02285142
"not_a","ghanaian",0.0565217391304348,"few",0.01316486,"chance",0.0130434782608696
"right_now","i",0.0565217391304348,"the",0.0565217391304348,"that",0.01733057
"is_an","easy",0.0565217391304348,"hour",0.01327111,"honor",0.0130434782608696
"on_your","team",0.0565217391304348,"day",0.01516075,"life",0.01516075
"you_will","be",0.18695652173913,"find",0.0565217391304348,"also",0.01820308
"said_the","district",0.0130434782608696,"principal",0.0130434782608696,"museum",0.0130434782608696
"to_find","a",0.143478260869565,"it",0.1,"an",0.0565217391304348
"is_to","be",0.1,"make",0.0565217391304348,"a",0.01971494
"to_help","that",0.05754076,"me",0.0565217391304348,"prevent",0.0130434782608696
"to_keep","it",0.1,"tabs",0.0565217391304348,"an",0.0565217391304348
"i_do","not",0.195454545454545,"i",0.104545454545455,"you",0.07980041
"like_to","have",0.104545454545455,"the",0.05915932,"talk",0.0590909090909091
"for_you","i",0.0590909090909091,"to",0.0590909090909091,"can",0.02702629
"the_city","and",0.0590909090909091,"will",0.0590909090909091,"manager",0.01560892
"in_his","own",0.0590909090909091,"last",0.0590909090909091,"challenge",0.0136363636363636
"to_hear","about",0.195454545454545,"the",0.104545454545455,"all",0.0590909090909091
"know_what","you",0.15,"a",0.104545454545455,"are",0.02918472
"said_he","was",0.15,"said",0.06136786,"has",0.0229128
"i_want","to",0.513636363636364,"it",0.0590909090909091,"bad",0.0136363636363636
"i_could","not",0.104545454545455,"have",0.06213314,"make",0.0590909090909091
"have_the","same",0.104545454545455,"right",0.0590909090909091,"chance",0.0590909090909091
"i_feel","like",0.286363636363636,"great",0.0590909090909091,"so",0.0590909090909091
"as_i","have",0.157142857142857,"can",0.0619047619047619,"was",0.0619047619047619
"to_me","it",0.10952380952381,"for",0.01810941,"on",0.01810941
"off_the","table",0.0619047619047619,"ground",0.0142857142857143,"dark",0.0142857142857143
"from_a","small",0.0619047619047619,"lot",0.01475089,"pad",0.0142857142857143
"how_to","get",0.10952380952381,"the",0.05677925,"be",0.04217678
"get_a","free",0.10952380952381,"job",0.10952380952381,"wristband",0.0619047619047619
"she_said","the",0.0619047619047619,"it",0.0619047619047619,"i",0.0619047619047619
"into_a","lot",0.01541864,"story",0.0142857142857143,"puddle",0.0142857142857143
"when_he","was",0.10952380952381,"worked",0.0619047619047619,"is",0.0619047619047619
"to_take","advantage",0.0619047619047619,"a",0.0619047619047619,"on",0.0619047619047619
"and_you","will",0.10952380952381,"don't",0.0619047619047619,"know",0.0619047619047619
"that_was","a",0.157142857142857,"his",0.0619047619047619,"the",0.03019337
"around_the","room",0.065,"world",0.065,"ozarks",0.015
"go_to","the",0.265,"work",0.065,"college",0.065
"there_was","a",0.415,"no",0.115,"talk",0.015
"we_were","going",0.065,"the",0.02336587,"not",0.01594813
"the_state","of",0.215,"witnesses",0.015,"thursday",0.015
"she_was","from",0.065,"a",0.065,"also",0.065
"has_a","great",0.065,"broken",0.015,"white",0.015
"if_i","had",0.115,"was",0.04239901,"have",0.0413931
"by_a","former",0.065,"smear",0.015,"few",0.015
"to_my","house",0.065,"big",0.015,"little",0.015
"that_they","are",0.115,"did",0.065,"have",0.065
"would_have","to",0.315,"been",0.165,"the",0.02472264
"not_only","to",0.065,"the",0.065,"a",0.065
"for_this","is",0.08204137,"and",0.065,"year",0.02927357
"forward_to","the",0.115,"watching",0.065,"meeting",0.065
"up_and","down",0.068421052631579,"the",0.03762297,"i",0.01701924
"hope_you","liked",0.068421052631579,"enjoyed",0.068421052631579,"don't",0.068421052631579
"should_be","in",0.0248319,"from",0.0157894736842105,"good",0.0157894736842105
"look_at","the",0.331578947368421,"me",0.068421052631579,"a",0.0331526
"up_in","the",0.278947368421053,"my",0.121052631578947,"this",0.0157894736842105
"it_would","be",0.436842105263158,"have",0.121052631578947,"happen",0.068421052631579
"who_are","the",0.02788395,"a",0.02466037,"so",0.01821322
"on_my","desk",0.0157894736842105,"nerves",0.0157894736842105,"face",0.0157894736842105
"in_that","time",0.121052631578947,"the",0.040822,"i",0.03364976
"what_you","want",0.0722222222222222,"do",0.0722222222222222,"need",0.0722222222222222
"are_not","a",0.127777777777778,"to",0.04251301,"only",0.02899297
"said_i","was",0.0722222222222222,"don't",0.0722222222222222,"have",0.04309787
"up_with","the",0.183333333333333,"a",0.0722222222222222,"half",0.0166666666666667
"of_our","students",0.0722222222222222,"own",0.0166666666666667,"other",0.0166666666666667
"to_work","on",0.127777777777778,"together",0.0722222222222222,"in",0.02655172
"its_a","story",0.127777777777778,"great",0.0722222222222222,"coping",0.0166666666666667
"during_the","battle",0.0722222222222222,"seven",0.0166666666666667,"third",0.0166666666666667
"up_the","good",0.127777777777778,"#good",0.0166666666666667,"explosive",0.0166666666666667
"wait_to","see",0.294444444444444,"hear",0.183333333333333,"get",0.0722222222222222
"you_don't","have",0.183333333333333,"want",0.127777777777778,"need",0.0722222222222222
"of_this","is",0.08316957,"year",0.02967613,"week",0.02203421
"of_course","in",0.04026549,"but",0.0166666666666667,"on",0.0166666666666667
"are_the","best",0.127777777777778,"council",0.0166666666666667,"only",0.0166666666666667
"the_game","in",0.0722222222222222,"at",0.02769682,"the",0.02769682
"can_be","the",0.03685009,"in",0.02320191,"blended",0.0166666666666667
"wanted_to","the",0.06580833,"a",0.02095825,"get",0.01926579
"of_their","own",0.0722222222222222,"work",0.0166666666666667,"elders",0.0166666666666667
"thanks_to","all",0.127777777777778,"the",0.127777777777778,"his",0.0722222222222222
"the_second","half",0.0722222222222222,"time",0.0722222222222222,"pedestrian",0.0166666666666667
"you_get","a",0.08893675,"to",0.0722222222222222,"them",0.0166666666666667
"but_it","is",0.294444444444444,"was",0.0722222222222222,"didnt",0.0166666666666667
"is_my","sister",0.0166666666666667,"teacher",0.0166666666666667,"only",0.0166666666666667
"so_many","levels",0.0722222222222222,"people",0.0722222222222222,"of",0.05735129
"this_week","i",0.183333333333333,"and",0.0722222222222222,"of",0.05465067
"what_is","there",0.0764705882352941,"a",0.0764705882352941,"happening",0.0764705882352941
"could_be","the",0.0764705882352941,"found",0.0764705882352941,"a",0.05414813
"i'm_not","sure",0.252941176470588,"that",0.0764705882352941,"to",0.03509922
"end_of","the",0.664705882352941,"my",0.0764705882352941,"story",0.0176470588235294
"at_all","the",0.0764705882352941,"times",0.0764705882352941,"of",0.06076312
"used_to","have",0.135294117647059,"be",0.0764705882352941,"the",0.05335233
"at_this","point",0.311764705882353,"time",0.194117647058824,"stage",0.0764705882352941
"a_very","good",0.194117647058824,"much",0.03927113,"well",0.02445184
"such_a","great",0.0764705882352941,"renowned",0.0176470588235294,"routine",0.0176470588235294
"got_a","person",0.0176470588235294,"fairly",0.0176470588235294,"b",0.0176470588235294
"high_school","district",0.0436865,"i",0.03352685,"students",0.0176470588235294
"if_the","game",0.0176470588235294,"movie",0.0176470588235294,"past",0.0176470588235294
"they_will","be",0.252941176470588,"also",0.0764705882352941,"have",0.02143328
"and_my","older",0.0176470588235294,"bra",0.0176470588235294,"hair",0.0176470588235294
"think_i","want",0.135294117647059,"can",0.0764705882352941,"was",0.0764705882352941
"in_her","life",0.0764705882352941,"and",0.02626434,"private",0.0176470588235294
"the_fact","that",0.782352941176471,"the",0.0176470588235294,"its",0.0176470588235294
"the_right","thing",0.135294117647059,"now",0.12384677,"to",0.0764705882352941
"what_a","great",0.252941176470588,"fucking",0.0764705882352941,"cryptic",0.0176470588235294
"a_couple","of",0.605882352941177,"times",0.0176470588235294,"hotdogs",0.0176470588235294
"it_i","think",0.0764705882352941,"had",0.0764705882352941,"do",0.0764705882352941
"had_to","the",0.06603986,"a",0.02103198,"get",0.01933357
"them_to","the",0.08125,"do",0.08125,"make",0.08125
"then_i","am",0.0402844,"think",0.03611525,"love",0.03090381
"the_house","was",0.02446237,"to",0.01875,"has",0.01875
"be_in","the",0.26875,"booth",0.01875,"a",0.01875
"of_all","the",0.08125,"things",0.08125,"of",0.08125
"make_the","person",0.01875,"spending",0.01875,"experience",0.01875
"is_it","is",0.0810292,"was",0.07690767,"depends",0.01875
"which_is","a",0.08125,"why",0.08125,"the",0.04758757
"out_the","other",0.08125,"new",0.08125,"past",0.01875
"i_would","have",0.20625,"never",0.08125,"love",0.08125
"i_need","to",0.39375,"a",0.26875,"some",0.02497234
"people_who","are",0.14375,"is",0.03861883,"has",0.03591821
"because_of","the",0.14375,"its",0.01875,"costs",0.01875
"the_top","of",0.14375,"and",0.08125,"but",0.01875
"new_york","in",0.08125,"told",0.01875,"times",0.01875
"in_your","life",0.08125,"community",0.01875,"name",0.01875
"we_had","to",0.14375,"the",0.08125,"been",0.02310203
"in_and","the",0.08125,"see",0.01875,"beating",0.01875
"are_a","million",0.01875,"preferred",0.01875,"lover",0.01875
"of_them","to",0.06769911,"and",0.05,"that",0.02787611
"to_play","with",0.08125,"in",0.08125,"along",0.01875
"fact_that","the",0.08125,"is",0.03062259,"he",0.02555502
"is_going","to",0.70625,"on",0.05636261,"back",0.02088964
"than_the","other",0.08125,"one",0.01875,"past",0.01875
"can't_wait","to",0.70625,"for",0.14375,"everyone",0.01875
"you_guys","i",0.01875,"a",0.01875,"really",0.01875
"i_thought","it",0.20625,"i",0.08125,"about",0.02916667
"looking_forward","to",0.95625,"but",0.00362261,"with",0.00083599
"like_the","homestead",0.01875,"newest",0.01875,"#kings",0.01875
"in_their","lives",0.14375,"redeemer",0.01875,"million",0.01875
"a_year","and",0.14375,"ago",0.08125,"the",0.08125
"had_the","same",0.153333333333333,"best",0.0866666666666667,"longest",0.02
"last_week","the",0.0866666666666667,"and",0.0866666666666667,"i",0.0520692
"decided_to","go",0.0866666666666667,"the",0.05728451,"be",0.04255211
"for_my","mare",0.02,"food",0.02,"time",0.02
"it_will","be",0.286666666666667,"have",0.153333333333333,"come",0.02
"this_time","of",0.22,"around",0.0866666666666667,"the",0.0866666666666667
"of_her","and",0.02841076,"as",0.02,"flight",0.02
"with_my","emotions",0.02,"husband",0.02,"mind",0.02
"love_you","the",0.0866666666666667,"can",0.02894428,"have",0.02894428
"you_do","you",0.09747775,"it",0.0866666666666667,"with",0.0866666666666667
"last_night","at",0.153333333333333,"last",0.0866666666666667,"it",0.0866666666666667
"it_and","i",0.0866666666666667,"click",0.02,"still",0.02
"do_not","miss",0.0866666666666667,"know",0.0866666666666667,"to",0.04001087
"going_on","a",0.06341882,"your",0.02425797,"in",0.02
"to_buy","a",0.22,"the",0.0866666666666667,"time",0.02
"try_to","get",0.22,"the",0.04868748,"be",0.03616605
"a_small","businesses",0.07107692,"business",0.028,"tract",0.02
"it_all","is",0.0866666666666667,"of",0.06838957,"i",0.02079243
"he_has","a",0.0866666666666667,"been",0.0866666666666667,"to",0.02650309
"who_is","not",0.153333333333333,"the",0.0866666666666667,"a",0.05375408
"the_one","of",0.1790981,"guy",0.0866666666666667,"day",0.02403481
"for_it","a",0.0866666666666667,"is",0.08508567,"the",0.02
"it_a","point",0.0866666666666667,"third",0.02,"quarter",0.02
"it_the","book",0.02,"zombie",0.02,"left-handed",0.02
"on_his","own",0.02827586,"game",0.02,"foot",0.02
"having_a","blast",0.153333333333333,"little",0.0866666666666667,"lover",0.02
"see_you","all",0.153333333333333,"at",0.0866666666666667,"can",0.02377358
"looking_for","a",0.153333333333333,"the",0.12205693,"network",0.02
