"word","estimate"
"the_to",0.0167319
"the_a",0.01424016
"the_that",0.00658149
"to_is",0.00517203
"to_on",0.00394947
"to_with",0.00334046
"and_day",0.00189956
"and_them",0.00180062
"and_been",0.00159286
"a_the",0.0253819
"a_to",0.01477649
"a_of",0.0103702
"of_of",0.01058492
"of_in",0.00846687
"of_on",0.00463624
"in_is",0.00493865
"in_you",0.00449165
"in_with",0.00318972
"i_to",0.00554749
"i_a",0.00472135
"i_of",0.00389325
"is_is",0.0054451
"is_with",0.00351683
"is_was",0.0030527
"that_me",0.00217147
"that_or",0.0018944
"that_out",0.00181707
"for_in",0.00718352
"for_is",0.00515113
"for_with",0.00332696
"you_of",0.00900478
"you_you",0.00469755
"you_my",0.00225573
"it_of",0.00860308
"it_me",0.00146131
"it_his",0.0014006
"on_of",0.00888746
"on_on",0.00389274
"on_was",0.00285797
"with_of",0.00973116
"with_in",0.00778395
"with_was",0.00312928
"was_you",0.00644851
"was_was",0.00397502
"was_are",0.00330837
"at_to",0.0124675
"at_i",0.00692835
"at_for",0.00481589
"this_to",0.0152469
"this_of",0.01070034
"this_that",0.00599737
"are_and",0.01311227
"are_i",0.00847711
"are_is",0.00614064
"be_of",0.01186703
"be_that",0.00665128
"be_it",0.00559856
"have_of",0.00768467
"have_for",0.00422967
"have_on",0.00336592
"he_the",0.01623765
"he_to",0.00945301
"he_a",0.00804526
"but_and",0.0113462
"but_but",0.00232527
"but_so",0.00180699
"my_the",0.02530202
"my_to",0.01472998
"my_and",0.01266143
"as_and",0.00920922
"as_in",0.00601442
"as_that",0.00421426
"not_of",0.01113068
"not_is",0.00638443
"not_it",0.00525117
"we_the",0.01513959
"we_to",0.00881376
"we_and",0.00757603
"from_of",0.0109483
"from_is",0.00627982
"from_for",0.00602598
"so_and",0.0113047
"so_of",0.00922984
"so_is",0.00529413
"about_of",0.00908698
"about_i",0.00719539
"about_is",0.00521219
"your_to",0.01630026
"your_and",0.01401119
"your_a",0.01387281
"they_the",0.01643825
"they_to",0.0095698
"they_and",0.0082259
"all_and",0.01188098
"all_with",0.00359363
"all_was",0.00311937
"me_is",0.00663755
"me_you",0.00603678
"me_are",0.00309714
"said_for",0.00577984
"said_with",0.00389028
"said_are",0.00281053
"his_the",0.02751836
"his_to",0.01602026
"his_and",0.01377051
"will_the",0.01839765
"will_a",0.00911547
"will_of",0.00751667
"what_of",0.00717186
"what_that",0.00401971
"what_for",0.00394742
"up_of",0.00857906
"up_it",0.00404738
"up_be",0.00227881
"or_and",0.01890944
"or_of",0.01543881
"or_that",0.00865321
"just_and",0.01452849
"just_i",0.0093927
"just_is",0.00680388
"by_of",0.01130638
"by_is",0.00648521
"by_that",0.00633705
"an_the",0.02797897
"an_to",0.01628841
"an_and",0.01400101
"out_is",0.00380335
"out_was",0.00213228
"out_this",0.00188163
"if_of",0.00464062
"if_in",0.00371203
"if_is",0.00266181
"when_and",0.00790809
"when_of",0.00645665
"when_that",0.00361885
"one_for",0.00578187
"one_with",0.00389164
"one_at",0.00318214
"who_to",0.01438004
"who_and",0.01236063
"who_a",0.01223854
"more_a",0.01428593
"more_is",0.00675702
"more_that",0.00660264
"like_of",0.00855946
"like_in",0.00684671
"like_is",0.00490961
"has_and",0.01034275
"has_of",0.00844445
"has_in",0.00675471
"do_of",0.00797605
"do_for",0.00439005
